frame_id,condition,conf_thres,model,n_det_clean,n_det_degraded,post_ms_clean,post_ms_degraded
261,rain_heavy,0.25,yolov8n_visdrone_640.onnx,77,46,3.7395,1.6004
262,rain_heavy,0.25,yolov8n_visdrone_640.onnx,76,37,2.423,2.276
263,rain_heavy,0.25,yolov8n_visdrone_640.onnx,81,43,3.645,1.5802
264,rain_heavy,0.25,yolov8n_visdrone_640.onnx,83,47,2.7781,2.4669
265,rain_heavy,0.25,yolov8n_visdrone_640.onnx,82,55,2.8199,1.8093
266,rain_heavy,0.25,yolov8n_visdrone_640.onnx,81,46,3.8992,2.3426
267,rain_heavy,0.25,yolov8n_visdrone_640.onnx,80,50,3.4783,2.0165
268,rain_heavy,0.25,yolov8n_visdrone_640.onnx,81,44,4.256,1.5701
269,rain_heavy,0.25,yolov8n_visdrone_640.onnx,82,44,4.0749,2.4448
270,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,48,3.2086,1.6788
271,rain_heavy,0.25,yolov8n_visdrone_640.onnx,78,48,3.8857,1.6664
272,rain_heavy,0.25,yolov8n_visdrone_640.onnx,77,43,2.6826,2.3773
273,rain_heavy,0.25,yolov8n_visdrone_640.onnx,81,45,3.9878,2.4366
274,rain_heavy,0.25,yolov8n_visdrone_640.onnx,80,42,3.1372,1.5041
275,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,42,2.5842,2.4377
276,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,51,3.73,3.1401
277,rain_heavy,0.25,yolov8n_visdrone_640.onnx,83,42,4.4255,2.3654
278,rain_heavy,0.25,yolov8n_visdrone_640.onnx,83,45,3.255,2.1933
279,rain_heavy,0.25,yolov8n_visdrone_640.onnx,82,45,2.6319,2.4399
280,rain_heavy,0.25,yolov8n_visdrone_640.onnx,86,48,5.4582,1.7127
281,rain_heavy,0.25,yolov8n_visdrone_640.onnx,82,42,4.1567,2.3708
282,rain_heavy,0.25,yolov8n_visdrone_640.onnx,81,45,3.3307,2.5168
283,rain_heavy,0.25,yolov8n_visdrone_640.onnx,81,42,4.9559,1.5524
284,rain_heavy,0.25,yolov8n_visdrone_640.onnx,79,41,4.6317,1.963
285,rain_heavy,0.25,yolov8n_visdrone_640.onnx,77,47,3.1557,2.5245
286,rain_heavy,0.25,yolov8n_visdrone_640.onnx,84,51,4.1208,1.948
287,rain_heavy,0.25,yolov8n_visdrone_640.onnx,80,45,3.636,2.3267
288,rain_heavy,0.25,yolov8n_visdrone_640.onnx,77,44,3.6912,2.379
289,rain_heavy,0.25,yolov8n_visdrone_640.onnx,81,37,2.7128,2.0065
290,rain_heavy,0.25,yolov8n_visdrone_640.onnx,84,52,4.0191,2.4174
291,rain_heavy,0.25,yolov8n_visdrone_640.onnx,80,44,2.6689,2.4941
292,rain_heavy,0.25,yolov8n_visdrone_640.onnx,81,50,4.1543,2.7261
293,rain_heavy,0.25,yolov8n_visdrone_640.onnx,80,52,3.9805,1.8476
294,rain_heavy,0.25,yolov8n_visdrone_640.onnx,81,48,3.7637,3.1707
295,rain_heavy,0.25,yolov8n_visdrone_640.onnx,78,48,3.7205,2.0256
296,rain_heavy,0.25,yolov8n_visdrone_640.onnx,81,45,5.5084,2.8167
297,rain_heavy,0.25,yolov8n_visdrone_640.onnx,81,48,3.4553,1.7294
298,rain_heavy,0.25,yolov8n_visdrone_640.onnx,81,56,4.1436,2.8878
299,rain_heavy,0.25,yolov8n_visdrone_640.onnx,82,45,4.0937,2.4531
